window_group,scan_start,scan_end,isolation_mz,isolation_width,collision_energy
1,0,292,1012.5,25.0,50.91463414634146
1,293,473,812.5,25.0,41.521341463414636
1,474,654,612.5,25.0,34.34756097560975
1,655,927,412.5,25.0,25.350609756097562
2,0,280,1037.5,25.0,51.15243902439025
2,281,458,837.5,25.0,42.076219512195124
2,459,636,637.5,25.0,35.021341463414636
2,637,927,437.5,25.0,25.70731707317073
3,0,267,1062.5,25.0,51.42987804878049
3,268,443,862.5,25.0,42.63109756097561
3,444,618,662.5,25.0,35.65548780487805
3,619,927,462.5,25.0,26.064024390243905
4,0,254,1087.5,25.0,51.66768292682927
4,255,427,887.5,25.0,43.1859756097561
4,428,601,687.5,25.0,36.329268292682926
4,602,927,487.5,25.0,26.420731707317074
5,0,241,1112.5,25.0,51.94512195121951
5,242,412,912.5,25.0,43.74085365853659
5,413,583,712.5,25.0,36.963414634146346
5,584,927,512.5,25.0,26.777439024390244
6,0,229,1137.5,25.0,52.1829268292683
6,230,397,937.5,25.0,44.295731707317074
6,398,565,737.5,25.0,37.63719512195122
6,566,927,537.5,25.0,27.134146341463417
7,0,216,1162.5,25.0,52.420731707317074
7,217,382,962.5,25.0,44.85060975609756
7,383,547,762.5,25.0,38.271341463414636
7,548,927,562.5,25.0,27.490853658536587
8,0,203,1187.5,25.0,52.69817073170732
8,204,366,987.5,25.0,45.40548780487805
8,367,529,787.5,25.0,38.94512195121951
8,530,927,587.5,25.0,27.847560975609756
9,0,415,1012.5,25.0,48.4969512195122
9,416,595,812.5,25.0,36.6859756097561
9,596,776,612.5,25.0,29.512195121951223
9,777,927,412.5,25.0,22.932926829268297
10,0,402,1037.5,25.0,48.734756097560975
10,403,580,837.5,25.0,37.24085365853659
10,581,758,637.5,25.0,30.1859756097561
10,759,927,437.5,25.0,23.289634146341463
11,0,389,1062.5,25.0,49.01219512195122
11,390,565,862.5,25.0,37.795731707317074
11,566,741,662.5,25.0,30.820121951219512
11,742,927,462.5,25.0,23.646341463414636
12,0,376,1087.5,25.0,49.25
12,377,550,887.5,25.0,38.35060975609756
12,551,723,687.5,25.0,31.45426829268293
12,724,927,487.5,25.0,24.00304878048781
13,0,364,1112.5,25.0,49.487804878048784
13,365,534,912.5,25.0,38.90548780487805
13,535,705,712.5,25.0,32.1280487804878
13,706,927,512.5,25.0,24.359756097560975
14,0,351,1137.5,25.0,49.765243902439025
14,352,519,937.5,25.0,39.46036585365854
14,520,687,737.5,25.0,32.801829268292686
14,688,927,537.5,25.0,24.71646341463415
15,0,338,1162.5,25.0,50.00304878048781
15,339,504,962.5,25.0,40.015243902439025
15,505,669,762.5,25.0,33.4359756097561
15,670,927,562.5,25.0,25.073170731707318
16,0,325,1187.5,25.0,50.28048780487805
16,326,488,987.5,25.0,40.57012195121951
16,489,651,787.5,25.0,34.109756097560975
16,652,927,587.5,25.0,25.429878048780488
