window_group,scan_start,scan_end,isolation_mz,isolation_width,collision_energy
1,0,1,1318.5,36.0,70.0
1,1,2,1317.2276159655,36.0,70.0
1,2,3,1315.955231931,36.0,70.0
1,3,4,1314.6828478965,36.0,70.0
1,4,5,1313.410463862,36.0,70.0
1,5,6,1312.1380798275,36.0,70.0
1,6,7,1310.865695793,36.0,70.0
1,7,8,1309.5933117585,36.0,70.0
1,8,9,1308.320927724,36.0,70.0
1,9,10,1307.0485436895,36.0,70.0
1,10,11,1305.776159655,36.0,70.0
1,11,12,1304.5037756205,36.0,70.0
1,12,13,1303.231391586,36.0,70.0
1,13,14,1301.9590075515,36.0,70.0
1,14,15,1300.686623517,36.0,70.0
1,15,16,1299.4142394825,36.0,70.0
1,16,17,1298.1418554480001,36.0,70.0
1,17,18,1296.8694714135,36.0,70.0
1,18,19,1295.597087379,36.0,70.0
1,19,20,1294.3247033445,36.0,70.0
1,20,21,1293.05231931,36.0,70.0
1,21,22,1291.7799352755,36.0,70.0
1,22,23,1290.507551241,36.0,70.0
1,23,24,1289.2351672065,36.0,70.0
1,24,25,1287.962783172,36.0,70.0
1,25,26,1286.6903991375,36.0,70.0
1,26,27,1285.418015103,36.0,70.0
1,27,28,1284.1456310685,36.0,70.0
1,28,29,1282.873247034,36.0,70.0
1,29,30,1281.6008629995,36.0,70.0
1,30,31,1280.328478965,36.0,70.0
1,31,32,1279.0560949305,36.0,70.0
1,32,33,1277.783710896,36.0,70.0
1,33,34,1276.5113268615,36.0,70.0
1,34,35,1275.238942827,36.0,70.0
1,35,36,1273.9665587925,36.0,70.0
1,36,37,1272.694174758,36.0,70.0
1,37,38,1271.4217907235,36.0,70.0
1,38,39,1270.149406689,36.0,70.0
1,39,40,1268.8770226545,36.0,70.0
1,40,41,1267.60463862,36.0,70.0
1,41,42,1266.3322545855,36.0,70.0
1,42,43,1265.059870551,36.0,70.0
1,43,44,1263.7874865165,36.0,70.0
1,44,45,1262.515102482,36.0,70.0
1,45,46,1261.2427184475,36.0,70.0
1,46,47,1259.970334413,36.0,70.0
1,47,48,1258.6979503785,36.0,70.0
1,48,49,1257.425566344,36.0,70.0
1,49,50,1256.1531823095,36.0,70.0
1,50,51,1254.880798275,36.0,70.0
1,51,52,1253.6084142405,36.0,70.0
1,52,53,1252.336030206,36.0,70.0
1,53,54,1251.0636461715,36.0,70.0
1,54,55,1249.791262137,36.0,70.0
1,55,56,1248.5188781025,36.0,70.0
1,56,57,1247.246494068,36.0,70.0
1,57,58,1245.9741100335,36.0,70.0
1,58,59,1244.701725999,36.0,70.0
1,59,60,1243.4293419645,36.0,70.0
1,60,61,1242.15695793,36.0,70.0
