window_group,scan_start,scan_end,isolation_mz,isolation_width,collision_energy
1,43,66,1213.8155116279318,25.0,46.509560229445505
1,77,218,1013.8155116279318,25.0,43.04206500956023
1,226,369,813.8155116279318,25.0,37.44933078393882
1,376,521,613.8155116279318,25.0,31.819311663479926
1,525,661,413.81551162793176,25.0,26.413001912045893
2,58,199,1038.8155116279318,25.0,43.750478011472275
2,208,350,838.8155116279318,25.0,38.120458891013385
2,357,502,638.8155116279318,25.0,32.52772466539197
2,506,653,438.81551162793176,25.0,26.93499043977056
3,43,180,1063.8155116279318,25.0,44.38432122370937
3,189,331,863.8155116279318,25.0,38.828871892925434
3,338,483,663.8155116279318,25.0,33.23613766730402
3,487,634,463.81551162793176,25.0,27.643403441682604
4,43,161,1088.8155116279318,25.0,44.719885277246654
4,170,313,888.8155116279318,25.0,39.53728489483748
4,320,464,688.8155116279318,25.0,33.90726577437859
4,469,615,488.81551162793176,25.0,28.314531548757174
5,43,142,1113.8155116279318,25.0,45.09273422562141
5,152,294,913.8155116279318,25.0,40.20841300191205
5,301,445,713.8155116279318,25.0,34.615678776290636
5,450,596,513.8155116279318,25.0,29.02294455066922
6,43,123,1138.8155116279318,25.0,45.4282982791587
6,133,275,938.8155116279318,25.0,40.91682600382409
6,282,426,738.8155116279318,25.0,35.32409177820268
6,431,577,538.8155116279318,25.0,29.731357552581265
7,43,104,1163.8155116279318,25.0,45.80114722753346
7,114,256,963.8155116279318,25.0,41.62523900573614
7,264,407,763.8155116279318,25.0,36.03250478011472
7,413,558,563.8155116279318,25.0,30.43977055449331
8,43,85,1188.8155116279318,25.0,46.136711281070745
8,96,237,988.8155116279318,25.0,42.33365200764818
8,245,388,788.8155116279318,25.0,36.74091778202677
8,394,540,588.8155116279318,25.0,31.11089866156788
