window_group,scan_start,scan_end,isolation_mz,isolation_width,collision_energy
1,0,1,1127.558,25.0,47.90180360721443
1,1,2,1126.6589708738,25.0,47.875751503006015
1,2,3,1125.7599417476,25.0,47.8496993987976
1,3,4,1124.8609126214,25.0,47.82364729458918
1,4,5,1123.9618834952,25.0,47.79759519038077
1,5,6,1123.062854369,25.0,47.77154308617235
1,6,7,1122.1638252428,25.0,47.74549098196393
1,7,8,1121.2647961165999,25.0,47.719438877755515
1,8,9,1120.3657669904,25.0,47.6933867735471
1,9,10,1119.4667378642,25.0,47.66733466933868
1,10,11,1118.567708738,25.0,47.64128256513026
1,11,12,1117.6686796118,25.0,47.61523046092185
1,12,13,1116.7696504856,25.0,47.58917835671343
1,13,14,1115.8706213594,25.0,47.563126252505015
1,14,15,1114.9715922332,25.0,47.5370741482966
1,15,16,1114.072563107,25.0,47.51102204408818
1,16,17,1113.1735339808,25.0,47.48496993987976
1,17,18,1112.2745048546,25.0,47.45891783567134
1,18,19,1111.3754757284,25.0,47.43286573146293
1,19,20,1110.4764466022,25.0,47.406813627254515
1,20,21,1109.577417476,25.0,47.3807615230461
1,21,22,1108.6783883498,25.0,47.35470941883768
1,22,23,1107.7793592236,25.0,47.32865731462926
1,23,24,1106.8803300974,25.0,47.30260521042084
1,24,25,1105.9813009712,25.0,47.276553106212425
1,25,26,1105.082271845,25.0,47.250501002004015
1,26,27,1104.1832427188,25.0,47.2244488977956
1,27,28,1103.2842135926,25.0,47.19839679358718
1,28,29,1102.3851844664,25.0,47.17234468937876
1,29,30,1101.4861553402,25.0,47.14629258517034
1,30,31,1100.587126214,25.0,47.120240480961925
1,31,32,1099.6880970878,25.0,47.09418837675351
1,32,33,1098.7890679616,25.0,47.0681362725451
1,33,34,1097.8900388354,25.0,47.04208416833668
1,34,35,1096.9910097092,25.0,47.01603206412826
1,35,36,1096.091980583,25.0,46.98997995991984
1,36,37,1095.1929514568,25.0,46.963927855711425
1,37,38,1094.2939223306,25.0,46.93787575150301
1,38,39,1093.3948932044,25.0,46.91182364729459
1,39,40,1092.4958640782,25.0,46.88577154308618
1,40,41,1091.5968349519999,25.0,46.85971943887776
1,41,42,1090.6978058258,25.0,46.83366733466934
1,42,43,1089.7987766996,25.0,46.807615230460925
1,43,44,1088.8997475734,25.0,46.78156312625251
1,44,45,1088.0007184472,25.0,46.75551102204409
1,45,46,1087.101689321,25.0,46.72945891783567
1,46,47,1086.2026601948,25.0,46.70340681362726
1,47,48,1085.3036310686,25.0,46.67735470941884
1,48,49,1084.4046019424,25.0,46.651302605210425
1,49,50,1083.5055728162,25.0,46.62525050100201
1,50,51,1082.60654369,25.0,46.59919839679359
1,51,52,1081.7075145638,25.0,46.57314629258517
1,52,53,1080.8084854376,25.0,46.547094188376754
1,53,54,1079.9094563114,25.0,46.52104208416834
1,54,55,1079.0104271852,25.0,46.494989979959925
1,55,56,1078.111398059,25.0,46.46893787575151
1,56,57,1077.2123689328,25.0,46.44288577154309
1,57,58,1076.3133398066,25.0,46.41683366733467
1,58,59,1075.4143106804,25.0,46.390781563126254
1,59,60,1074.5152815542,25.0,46.364729458917836
1,60,61,1073.616252428,25.0,46.338677354709425
1,61,62,1072.7172233,25.0,46.31262525050101
1,62,63,1071.8181941737998,25.0,46.28657314629259
1,63,64,1070.9191650475998,25.0,46.26052104208417
1,64,65,1070.0201359214,25.0,46.234468937875754
1,65,66,1069.1211067952,25.0,46.208416833667336
1,66,67,1068.2220776689999,25.0,46.18236472945892
1,67,68,1067.3230485427998,25.0,46.15631262525051
1,68,69,1066.4240194165998,25.0,46.13026052104209
1,69,70,1065.5249902904,25.0,46.10420841683367
1,70,71,1064.6259611642,25.0,46.078156312625254
1,71,72,1063.7269320379999,25.0,46.052104208416836
1,72,73,1062.8279029117998,25.0,46.02605210420842
1,73,74,1061.9288737856,25.0,46.0
1,74,75,1061.0298446594,25.0,45.97394789579159
1,75,76,1060.1308155332,25.0,45.94789579158317
1,76,77,1059.2317864069998,25.0,45.92184368737475
1,77,78,1058.3327572807998,25.0,45.895791583166336
1,78,79,1057.4337281546,25.0,45.86973947895792
1,79,80,1056.5346990284,25.0,45.8436873747495
1,80,81,1055.6356699021999,25.0,45.81763527054109
1,81,82,1054.7366407759998,25.0,45.79158316633267
1,82,83,1053.8376116497998,25.0,45.76553106212425
1,83,84,1052.9385825236,25.0,45.739478957915836
1,84,85,1052.0395533974,25.0,45.71342685370742
1,85,86,1051.1405242711999,25.0,45.687374749499
1,86,87,1050.2414951449998,25.0,45.66132264529058
1,87,88,1049.3424660188,25.0,45.635270541082164
1,88,89,1048.4434368926,25.0,45.60921843687375
1,89,90,1047.5444077664,25.0,45.583166332665336
1,90,91,1046.6453786401999,25.0,45.55711422845692
1,91,92,1045.7463495139998,25.0,45.5310621242485
1,92,93,1044.8473203878,25.0,45.50501002004008
1,93,94,1043.9482912616,25.0,45.478957915831664
1,94,95,1043.0492621353999,25.0,45.45290581162325
1,95,96,1042.1502330091998,25.0,45.426853707414836
1,96,97,1041.2512038829998,25.0,45.40080160320642
1,97,98,1040.3521747568,25.0,45.374749498998
1,98,99,1039.4531456306,25.0,45.34869739478958
1,99,100,1038.5541165043999,25.0,45.322645290581164
1,100,101,1037.6550873781998,25.0,45.296593186372746
1,101,102,1036.756058252,25.0,45.27054108216433
1,102,103,1035.8570291258,25.0,45.24448897795592
1,103,104,1034.9579999996,25.0,45.2184368737475
1,104,105,1034.0589708733999,25.0,45.19238476953908
1,105,106,1033.1599417471998,25.0,45.166332665330664
1,106,107,1032.260912621,25.0,45.140280561122246
1,107,108,1031.3618834948,25.0,45.11422845691383
1,108,109,1030.4628543686,25.0,45.08817635270542
1,109,110,1029.5638252423998,25.0,45.062124248497
1,110,111,1028.6647961161998,25.0,45.03607214428858
1,111,112,1027.76576699,25.0,45.010020040080164
1,112,113,1026.8667378638,25.0,44.983967935871746
1,113,114,1025.9677087375999,25.0,44.95791583166333
1,114,115,1025.0686796113998,25.0,44.93186372745491
1,115,116,1024.1696504851998,25.0,44.90581162324649
1,116,117,1023.2706213589998,25.0,44.87975951903808
1,117,118,1022.3715922327999,25.0,44.853707414829664
1,118,119,1021.4725631065999,25.0,44.827655310621246
1,119,120,1020.5735339803999,25.0,44.80160320641283
1,120,121,1019.6745048541999,25.0,44.77555110220441
1,121,122,1018.775475728,25.0,44.74949899799599
1,122,123,1017.8764466017999,25.0,44.72344689378758
1,123,124,1016.97741748,25.0,44.697394789579164
1,124,125,1016.0783883537999,25.0,44.671342685370746
1,125,126,1015.1793592276,25.0,44.64529058116233
1,126,127,1014.2803301014,25.0,44.61923847695391
1,127,128,1013.3813009752,25.0,44.59318637274549
1,128,129,1012.482271849,25.0,44.567134268537075
1,129,130,1011.5832427228,25.0,44.54108216432866
1,130,131,1010.6842135966,25.0,44.515030060120246
1,131,132,1009.7851844703999,25.0,44.48897795591183
1,132,133,1008.8861553442,25.0,44.46292585170341
1,133,134,1007.987126218,25.0,44.43687374749499
1,134,135,1007.0880970918,25.0,44.410821643286575
1,135,136,1006.1890679656,25.0,44.38476953907816
1,136,137,1005.2900388394,25.0,44.358717434869746
1,137,138,1004.3910097132,25.0,44.33266533066133
1,138,139,1003.491980587,25.0,44.30661322645291
1,139,140,1002.5929514608,25.0,44.28056112224449
1,140,141,1001.6939223346,25.0,44.254509018036075
1,141,142,1000.7948932084,25.0,44.22845691382766
1,142,143,999.8958640822,25.0,44.20240480961924
1,143,144,998.9968349559999,25.0,44.17635270541082
1,144,145,998.0978058298,25.0,44.15030060120241
1,145,146,997.1987767036,25.0,44.12424849699399
1,146,147,996.2997475774,25.0,44.098196392785574
1,147,148,995.4007184512,25.0,44.07214428857716
1,148,149,994.501689325,25.0,44.04609218436874
1,149,150,993.6026601988,25.0,44.02004008016032
1,150,151,992.7036310725999,25.0,43.99398797595191
1,151,152,991.8046019464,25.0,43.96793587174349
1,152,153,990.9055728202,25.0,43.941883767535074
1,153,154,990.006543694,25.0,43.91583166332666
1,154,155,989.1075145678,25.0,43.88977955911824
1,155,156,988.2084854416,25.0,43.86372745490982
1,156,157,987.3094563154,25.0,43.8376753507014
1,157,158,986.4104271891999,25.0,43.811623246492985
1,158,159,985.511398063,25.0,43.785571142284574
1,159,160,984.6123689368,25.0,43.75951903807616
1,160,161,983.7133398106,25.0,43.73346693386774
1,161,162,982.8143106844,25.0,43.70741482965932
1,162,163,981.9152815582,25.0,43.6813627254509
1,163,164,981.016252432,25.0,43.655310621242485
1,164,165,980.1172233057999,25.0,43.629258517034074
1,165,166,979.2181941796,25.0,43.60320641282566
1,166,167,978.3191650534,25.0,43.57715430861724
1,167,168,977.4201359272,25.0,43.55110220440882
1,168,169,976.521106801,25.0,43.5250501002004
1,169,170,975.6220776748,25.0,43.498997995991985
1,170,171,974.7230485486,25.0,43.47294589178357
1,171,172,973.8240194223999,25.0,43.44689378757515
1,172,173,972.9249902962,25.0,43.42084168336674
1,173,174,972.02596117,25.0,43.39478957915832
1,174,175,971.1269320438,25.0,43.3687374749499
1,175,176,970.2279029176,25.0,43.342685370741485
1,176,177,969.3288737913999,25.0,43.31663326653307
1,177,178,968.4298446652,25.0,43.29058116232465
